cidx,country,startIDX,endIDX,startDate,endDate,mean,sd,meanAndsd,count,max


WIGHT&THRESHOLD&0.3&0.4
56,,97,443,2020-05-01,2021-04-12,0.23845606419052,0.1844043154289423,0.23845606419052&&&0.1844043154289423,223,1.078451806404573
73,,97,443,2020-05-01,2021-04-12,0.12435940356462719,0.10395029306699605,0.12435940356462719&&&0.10395029306699605,347,0.4272186133316199
138,,97,443,2020-05-01,2021-04-12,4.81205069677706,36.00686805330455,4.81205069677706&&&36.00686805330455,298,425.9105674431475
124,,97,443,2020-05-01,2021-04-12,0.11415651763952873,0.10217110393359519,0.11415651763952873&&&0.10217110393359519,347,0.43404800359706713

WIGHT&THRESHOLD&0.3&0.4
155,,97,443,2020-05-01,2021-04-12,0.17067803621237537,0.12510611400091468,0.17067803621237537&&&0.12510611400091468,347,0.6466974599245642
21,,97,443,2020-05-01,2021-04-12,0.1687883411687625,0.13267820296879235,0.1687883411687625&&&0.13267820296879235,347,0.6838108889461888
71,,97,443,2020-05-01,2021-04-12,0.17126638360031268,0.2359679006430942,0.17126638360031268&&&0.2359679006430942,347,2.3715855247082764
98,,97,443,2020-05-01,2021-04-12,0.2695757978999369,0.33981822498827013,0.2695757978999369&&&0.33981822498827013,347,3.147665060495166
153,,97,443,2020-05-01,2021-04-12,0.21388982843974455,0.1594950196586275,0.21388982843974455&&&0.1594950196586275,347,0.9021181830310828
77,,97,443,2020-05-01,2021-04-12,0.4325789157731952,2.0203475791465904,0.4325789157731952&&&2.0203475791465904,322,28.632039210330014
56,,97,443,2020-05-01,2021-04-12,0.23845606419052,0.1844043154289423,0.23845606419052&&&0.1844043154289423,223,1.078451806404573
73,,97,443,2020-05-01,2021-04-12,0.12435940356462719,0.10395029306699605,0.12435940356462719&&&0.10395029306699605,347,0.4272186133316199
138,,97,443,2020-05-01,2021-04-12,4.81205069677706,36.00686805330455,4.81205069677706&&&36.00686805330455,298,425.9105674431475
124,,97,443,2020-05-01,2021-04-12,0.11415651763952873,0.10217110393359519,0.11415651763952873&&&0.10217110393359519,347,0.43404800359706713

WIGHT&THRESHOLD&0.3&0.4
155,,97,443,2020-05-01,2021-04-12,0.17067803621237537,0.12510611400091468,0.17067803621237537&&&0.12510611400091468,347,0.6466974599245642
21,,97,443,2020-05-01,2021-04-12,0.1687883411687625,0.13267820296879235,0.1687883411687625&&&0.13267820296879235,347,0.6838108889461888
71,,97,443,2020-05-01,2021-04-12,0.17126638360031268,0.2359679006430942,0.17126638360031268&&&0.2359679006430942,347,2.3715855247082764
98,,97,443,2020-05-01,2021-04-12,0.2695757978999369,0.33981822498827013,0.2695757978999369&&&0.33981822498827013,347,3.147665060495166
153,,97,443,2020-05-01,2021-04-12,0.21388982843974455,0.1594950196586275,0.21388982843974455&&&0.1594950196586275,347,0.9021181830310828
77,,97,443,2020-05-01,2021-04-12,0.4325789157731952,2.0203475791465904,0.4325789157731952&&&2.0203475791465904,322,28.632039210330014
56,,97,443,2020-05-01,2021-04-12,0.23845606419052,0.1844043154289423,0.23845606419052&&&0.1844043154289423,223,1.078451806404573
73,,97,443,2020-05-01,2021-04-12,0.12435940356462719,0.10395029306699605,0.12435940356462719&&&0.10395029306699605,347,0.4272186133316199
138,,97,443,2020-05-01,2021-04-12,4.81205069677706,36.00686805330455,4.81205069677706&&&36.00686805330455,298,425.9105674431475
124,,97,443,2020-05-01,2021-04-12,0.11415651763952873,0.10217110393359519,0.11415651763952873&&&0.10217110393359519,347,0.43404800359706713
