location_name,date,deaths,lower,upper,model_date,model
Afghanistan,2020-03-09,0,0,0,2020-08-05,lanl
Albania,2020-03-09,0,0,0,2020-08-05,lanl
Algeria,2020-03-09,0,0,0,2020-08-05,lanl
Andorra,2020-03-09,0,0,0,2020-08-05,lanl
Angola,2020-03-09,0,0,0,2020-08-05,lanl
Argentina,2020-03-09,1,1,1,2020-08-05,lanl
Armenia,2020-03-09,0,0,0,2020-08-05,lanl
Australia,2020-03-09,3,3,3,2020-08-05,lanl
Austria,2020-03-09,0,0,0,2020-08-05,lanl
Azerbaijan,2020-03-09,0,0,0,2020-08-05,lanl
Bahrain,2020-03-09,0,0,0,2020-08-05,lanl
Bangladesh,2020-03-09,0,0,0,2020-08-05,lanl
Belarus,2020-03-09,0,0,0,2020-08-05,lanl
Belgium,2020-03-09,0,0,0,2020-08-05,lanl
Benin,2020-03-09,0,0,0,2020-08-05,lanl
Bolivia,2020-03-09,0,0,0,2020-08-05,lanl
Bosnia and Herzegovina,2020-03-09,0,0,0,2020-08-05,lanl
Brazil,2020-03-09,0,0,0,2020-08-05,lanl
Bulgaria,2020-03-09,0,0,0,2020-08-05,lanl
Burkina Faso,2020-03-09,0,0,0,2020-08-05,lanl
Cabo Verde,2020-03-09,0,0,0,2020-08-05,lanl
Cameroon,2020-03-09,0,0,0,2020-08-05,lanl
Canada,2020-03-09,1,1,1,2020-08-05,lanl
Central African Republic,2020-03-09,0,0,0,2020-08-05,lanl
Chad,2020-03-09,0,0,0,2020-08-05,lanl
Chile,2020-03-09,0,0,0,2020-08-05,lanl
China,2020-03-09,3123,3123,3123,2020-08-05,lanl
Colombia,2020-03-09,0,0,0,2020-08-05,lanl
Republic of Congo,2020-03-09,0,0,0,2020-08-05,lanl
Costa Rica,2020-03-09,0,0,0,2020-08-05,lanl
Cote d'Ivoire,2020-03-09,0,0,0,2020-08-05,lanl
Croatia,2020-03-09,0,0,0,2020-08-05,lanl
Cuba,2020-03-09,0,0,0,2020-08-05,lanl
Czechia,2020-03-09,0,0,0,2020-08-05,lanl
Democratic Republic of the Congo,2020-03-09,0,0,0,2020-08-05,lanl
Denmark,2020-03-09,0,0,0,2020-08-05,lanl
Djibouti,2020-03-09,0,0,0,2020-08-05,lanl
Dominican Republic,2020-03-09,0,0,0,2020-08-05,lanl
Ecuador,2020-03-09,0,0,0,2020-08-05,lanl
Egypt,2020-03-09,1,1,1,2020-08-05,lanl
El Salvador,2020-03-09,0,0,0,2020-08-05,lanl
Equatorial Guinea,2020-03-09,0,0,0,2020-08-05,lanl
Estonia,2020-03-09,0,0,0,2020-08-05,lanl
Eswatini,2020-03-09,0,0,0,2020-08-05,lanl
Ethiopia,2020-03-09,0,0,0,2020-08-05,lanl
Finland,2020-03-09,0,0,0,2020-08-05,lanl
France,2020-03-09,19,19,19,2020-08-05,lanl
Gabon,2020-03-09,0,0,0,2020-08-05,lanl
Germany,2020-03-09,2,2,2,2020-08-05,lanl
Ghana,2020-03-09,0,0,0,2020-08-05,lanl
Greece,2020-03-09,0,0,0,2020-08-05,lanl
Guatemala,2020-03-09,0,0,0,2020-08-05,lanl
Guinea,2020-03-09,0,0,0,2020-08-05,lanl
Guinea-Bissau,2020-03-09,0,0,0,2020-08-05,lanl
Guyana,2020-03-09,0,0,0,2020-08-05,lanl
Haiti,2020-03-09,0,0,0,2020-08-05,lanl
Honduras,2020-03-09,0,0,0,2020-08-05,lanl
Hungary,2020-03-09,0,0,0,2020-08-05,lanl
India,2020-03-09,0,0,0,2020-08-05,lanl
Indonesia,2020-03-09,0,0,0,2020-08-05,lanl
Iran,2020-03-09,237,237,237,2020-08-05,lanl
Iraq,2020-03-09,6,6,6,2020-08-05,lanl
Ireland,2020-03-09,0,0,0,2020-08-05,lanl
Israel,2020-03-09,0,0,0,2020-08-05,lanl
Italy,2020-03-09,463,463,463,2020-08-05,lanl
Japan,2020-03-09,10,10,10,2020-08-05,lanl
Kazakhstan,2020-03-09,0,0,0,2020-08-05,lanl
Kenya,2020-03-09,0,0,0,2020-08-05,lanl
Kosovo,2020-03-09,0,0,0,2020-08-05,lanl
Kuwait,2020-03-09,0,0,0,2020-08-05,lanl
Kyrgyzstan,2020-03-09,0,0,0,2020-08-05,lanl
Latvia,2020-03-09,0,0,0,2020-08-05,lanl
Lebanon,2020-03-09,0,0,0,2020-08-05,lanl
Lesotho,2020-03-09,0,0,0,2020-08-05,lanl
Liberia,2020-03-09,0,0,0,2020-08-05,lanl
Libya,2020-03-09,0,0,0,2020-08-05,lanl
Lithuania,2020-03-09,0,0,0,2020-08-05,lanl
Luxembourg,2020-03-09,0,0,0,2020-08-05,lanl
Madagascar,2020-03-09,0,0,0,2020-08-05,lanl
Malawi,2020-03-09,0,0,0,2020-08-05,lanl
Malaysia,2020-03-09,0,0,0,2020-08-05,lanl
Mali,2020-03-09,0,0,0,2020-08-05,lanl
Mauritania,2020-03-09,0,0,0,2020-08-05,lanl
Mexico,2020-03-09,0,0,0,2020-08-05,lanl
Moldova,2020-03-09,0,0,0,2020-08-05,lanl
Montenegro,2020-03-09,0,0,0,2020-08-05,lanl
Morocco,2020-03-09,0,0,0,2020-08-05,lanl
